0,1,2,3,4
0,0,-90,217.5,0.0
1,0,-90,217.5,5.969026041820607
2,0,-90,217.5,5.654866776461628
3,0,-90,217.5,5.340707511102648
4,0,-90,217.5,5.026548245743669
5,0,-90,217.5,4.71238898038469
6,0,-90,217.5,4.39822971502571
7,0,-90,217.5,4.084070449666731
8,0,-90,217.5,3.7699111843077517
9,0,-90,217.5,3.4557519189487724
10,0,-90,217.5,3.141592653589793
11,0,-90,217.5,2.827433388230814
12,0,-90,217.5,2.5132741228718345
13,0,-90,217.5,2.199114857512855
14,0,-90,217.5,1.8849555921538759
15,0,-90,217.5,1.5707963267948966
16,0,-90,217.5,1.2566370614359172
17,0,-90,217.5,0.9424777960769379
18,0,-90,217.5,0.6283185307179586
19,0,-90,217.5,0.3141592653589793
20,0,-30,217.5,0.0
21,0,-30,217.5,5.969026041820607
22,0,-30,217.5,5.654866776461628
23,0,-30,217.5,5.340707511102648
24,0,-30,217.5,5.026548245743669
25,0,-30,217.5,4.71238898038469
26,0,-30,217.5,4.39822971502571
27,0,-30,217.5,4.084070449666731
28,0,-30,217.5,3.7699111843077517
29,0,-30,217.5,3.4557519189487724
30,0,-30,217.5,3.141592653589793
31,0,-30,217.5,2.827433388230814
32,0,-30,217.5,2.5132741228718345
33,0,-30,217.5,2.199114857512855
34,0,-30,217.5,1.8849555921538759
35,0,-30,217.5,1.5707963267948966
36,0,-30,217.5,1.2566370614359172
37,0,-30,217.5,0.9424777960769379
38,0,-30,217.5,0.6283185307179586
39,0,-30,217.5,0.3141592653589793
40,0,30,217.5,0.0
41,0,30,217.5,5.969026041820607
42,0,30,217.5,5.654866776461628
43,0,30,217.5,5.340707511102648
44,0,30,217.5,5.026548245743669
45,0,30,217.5,4.71238898038469
46,0,30,217.5,4.39822971502571
47,0,30,217.5,4.084070449666731
48,0,30,217.5,3.7699111843077517
49,0,30,217.5,3.4557519189487724
50,0,30,217.5,3.141592653589793
51,0,30,217.5,2.827433388230814
52,0,30,217.5,2.5132741228718345
53,0,30,217.5,2.199114857512855
54,0,30,217.5,1.8849555921538759
55,0,30,217.5,1.5707963267948966
56,0,30,217.5,1.2566370614359172
57,0,30,217.5,0.9424777960769379
58,0,30,217.5,0.6283185307179586
59,0,30,217.5,0.3141592653589793
60,0,90,217.5,0.0
61,0,90,217.5,5.969026041820607
62,0,90,217.5,5.654866776461628
63,0,90,217.5,5.340707511102648
64,0,90,217.5,5.026548245743669
65,0,90,217.5,4.71238898038469
66,0,90,217.5,4.39822971502571
67,0,90,217.5,4.084070449666731
68,0,90,217.5,3.7699111843077517
69,0,90,217.5,3.4557519189487724
70,0,90,217.5,3.141592653589793
71,0,90,217.5,2.827433388230814
72,0,90,217.5,2.5132741228718345
73,0,90,217.5,2.199114857512855
74,0,90,217.5,1.8849555921538759
75,0,90,217.5,1.5707963267948966
76,0,90,217.5,1.2566370614359172
77,0,90,217.5,0.9424777960769379
78,0,90,217.5,0.6283185307179586
79,0,90,217.5,0.3141592653589793
